	filename	determiner	monotonicity	gold_label	replace_target	replace_source	replace_mode	ori_sentence	new_sentence
21	silver/p49/d1442	neither	downward_monotone	entailment	neither rewards nor punishments	neither punishments	simple	In nature there are neither punishments .	In nature there are neither rewards nor punishments .
22	silver/p49/d1442	neither	downward_monotone	neutral	punishments	social controls	noun_hypernym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor social controls .
23	silver/p49/d1442	neither	downward_monotone	entailment	punishments	social controls	noun_hypernym_obj	In nature there are neither rewards nor social controls .	In nature there are neither rewards nor punishments .
24	silver/p49/d1442	neither	downward_monotone	entailment	punishments	castigations	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor castigations .
25	silver/p49/d1442	neither	downward_monotone	neutral	punishments	castigations	noun_hypernym_obj	In nature there are neither rewards nor castigations .	In nature there are neither rewards nor punishments .
26	silver/p49/d1442	neither	downward_monotone	entailment	punishments	chastisements	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor chastisements .
27	silver/p49/d1442	neither	downward_monotone	neutral	punishments	chastisements	noun_hypernym_obj	In nature there are neither rewards nor chastisements .	In nature there are neither rewards nor punishments .
28	silver/p49/d1442	neither	downward_monotone	entailment	punishments	corporal punishments	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor corporal punishments .
29	silver/p49/d1442	neither	downward_monotone	neutral	punishments	corporal punishments	noun_hypernym_obj	In nature there are neither rewards nor corporal punishments .	In nature there are neither rewards nor punishments .
30	silver/p49/d1442	neither	downward_monotone	entailment	punishments	cruel and unusual punishments	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor cruel and unusual punishments .
31	silver/p49/d1442	neither	downward_monotone	neutral	punishments	cruel and unusual punishments	noun_hypernym_obj	In nature there are neither rewards nor cruel and unusual punishments .	In nature there are neither rewards nor punishments .
32	silver/p49/d1442	neither	downward_monotone	entailment	punishments	detentions	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor detentions .
33	silver/p49/d1442	neither	downward_monotone	neutral	punishments	detentions	noun_hypernym_obj	In nature there are neither rewards nor detentions .	In nature there are neither rewards nor punishments .
34	silver/p49/d1442	neither	downward_monotone	entailment	punishments	disciplines	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor disciplines .
35	silver/p49/d1442	neither	downward_monotone	neutral	punishments	disciplines	noun_hypernym_obj	In nature there are neither rewards nor disciplines .	In nature there are neither rewards nor punishments .
36	silver/p49/d1442	neither	downward_monotone	entailment	punishments	corrections	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor corrections .
37	silver/p49/d1442	neither	downward_monotone	neutral	punishments	corrections	noun_hypernym_obj	In nature there are neither rewards nor corrections .	In nature there are neither rewards nor punishments .
38	silver/p49/d1442	neither	downward_monotone	entailment	punishments	economic strangulations	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor economic strangulations .
39	silver/p49/d1442	neither	downward_monotone	neutral	punishments	economic strangulations	noun_hypernym_obj	In nature there are neither rewards nor economic strangulations .	In nature there are neither rewards nor punishments .
40	silver/p49/d1442	neither	downward_monotone	entailment	punishments	imprisonments	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor imprisonments .
41	silver/p49/d1442	neither	downward_monotone	neutral	punishments	imprisonments	noun_hypernym_obj	In nature there are neither rewards nor imprisonments .	In nature there are neither rewards nor punishments .
42	silver/p49/d1442	neither	downward_monotone	entailment	punishments	musics	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor musics .
43	silver/p49/d1442	neither	downward_monotone	neutral	punishments	musics	noun_hypernym_obj	In nature there are neither rewards nor musics .	In nature there are neither rewards nor punishments .
44	silver/p49/d1442	neither	downward_monotone	entailment	punishments	medicines	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor medicines .
45	silver/p49/d1442	neither	downward_monotone	neutral	punishments	medicines	noun_hypernym_obj	In nature there are neither rewards nor medicines .	In nature there are neither rewards nor punishments .
46	silver/p49/d1442	neither	downward_monotone	entailment	punishments	penances	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor penances .
47	silver/p49/d1442	neither	downward_monotone	neutral	punishments	penances	noun_hypernym_obj	In nature there are neither rewards nor penances .	In nature there are neither rewards nor punishments .
48	silver/p49/d1442	neither	downward_monotone	entailment	punishments	self-mortifications	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor self-mortifications .
49	silver/p49/d1442	neither	downward_monotone	neutral	punishments	self-mortifications	noun_hypernym_obj	In nature there are neither rewards nor self-mortifications .	In nature there are neither rewards nor punishments .
50	silver/p49/d1442	neither	downward_monotone	entailment	punishments	self-abasements	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor self-abasements .
51	silver/p49/d1442	neither	downward_monotone	neutral	punishments	self-abasements	noun_hypernym_obj	In nature there are neither rewards nor self-abasements .	In nature there are neither rewards nor punishments .
52	silver/p49/d1442	neither	downward_monotone	entailment	punishments	self-punishments	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor self-punishments .
53	silver/p49/d1442	neither	downward_monotone	neutral	punishments	self-punishments	noun_hypernym_obj	In nature there are neither rewards nor self-punishments .	In nature there are neither rewards nor punishments .
54	silver/p49/d1442	neither	downward_monotone	entailment	punishments	sticks	noun_hyponym_obj	In nature there are neither rewards nor punishments .	In nature there are neither rewards nor sticks .
55	silver/p49/d1442	neither	downward_monotone	neutral	punishments	sticks	noun_hypernym_obj	In nature there are neither rewards nor sticks .	In nature there are neither rewards nor punishments .
56	silver/p29/d1884	neither	downward_monotone	entailment	Neither gold nor greatness	neither greatness	simple	neither greatness make us happy .	Neither gold nor greatness make us happy .
57	silver/p76/d1785	neither	downward_monotone	entailment	neither of his sons	neither sons	simple	I have met neither sons .	I have met neither of his sons .
58	silver/p33/d1566	neither	downward_monotone	entailment	neither God nor Buddha	neither Buddha	simple	There is neither Buddha .	There is neither God nor Buddha .
59	silver/p33/d1566	neither	downward_monotone	neutral	Buddha	saint	noun_hypernym_obj	There is neither God nor Buddha .	There is neither God nor saint .
60	silver/p33/d1566	neither	downward_monotone	entailment	Buddha	saint	noun_hypernym_obj	There is neither God nor saint .	There is neither God nor Buddha .
61	silver/p33/d1566	neither	downward_monotone	neutral	Buddha	holy man	noun_hypernym_obj	There is neither God nor Buddha .	There is neither God nor holy man .
62	silver/p33/d1566	neither	downward_monotone	entailment	Buddha	holy man	noun_hypernym_obj	There is neither God nor holy man .	There is neither God nor Buddha .
63	silver/p33/d1566	neither	downward_monotone	neutral	Buddha	holy person	noun_hypernym_obj	There is neither God nor Buddha .	There is neither God nor holy person .
64	silver/p33/d1566	neither	downward_monotone	entailment	Buddha	holy person	noun_hypernym_obj	There is neither God nor holy person .	There is neither God nor Buddha .
65	silver/p33/d1566	neither	downward_monotone	neutral	Buddha	angel	noun_hypernym_obj	There is neither God nor Buddha .	There is neither God nor angel .
66	silver/p33/d1566	neither	downward_monotone	entailment	Buddha	angel	noun_hypernym_obj	There is neither God nor angel .	There is neither God nor Buddha .
67	silver/p33/d2764	neither	downward_monotone	entailment	Neither Mary nor John	someone	simple	someone can swim .	Neither Mary nor John can swim .
68	silver/p88/d2917	neither	downward_monotone	entailment	neither flowers nor trees	neither trees	simple	There were neither trees in the streets of his city .	There were neither flowers nor trees in the streets of his city .
69	silver/p18/d1835	neither	downward_monotone	entailment	two books , neither of which I have read as yet	neither yet	simple	He lent me neither yet .	He lent me two books , neither of which I have read as yet .
70	silver/p25/d1536	neither	downward_monotone	entailment	neither baseball nor football	neither football	simple	He likes neither football .	He likes neither baseball nor football .
71	silver/p25/d1536	neither	downward_monotone	neutral	football	contact sport	noun_hypernym_obj	He likes neither baseball nor football .	He likes neither baseball nor contact sport .
72	silver/p25/d1536	neither	downward_monotone	entailment	football	contact sport	noun_hypernym_obj	He likes neither baseball nor contact sport .	He likes neither baseball nor football .
73	silver/p25/d1536	neither	downward_monotone	neutral	football	field game	noun_hypernym_obj	He likes neither baseball nor football .	He likes neither baseball nor field game .
74	silver/p25/d1536	neither	downward_monotone	entailment	football	field game	noun_hypernym_obj	He likes neither baseball nor field game .	He likes neither baseball nor football .
75	silver/p25/d1536	neither	downward_monotone	entailment	football	American football	noun_hyponym_obj	He likes neither baseball nor football .	He likes neither baseball nor American football .
77	silver/p25/d1536	neither	downward_monotone	entailment	football	American football game	noun_hyponym_obj	He likes neither baseball nor football .	He likes neither baseball nor American football game .
78	silver/p25/d1536	neither	downward_monotone	neutral	football	American football game	noun_hypernym_obj	He likes neither baseball nor American football game .	He likes neither baseball nor football .
79	silver/p25/d1536	neither	downward_monotone	entailment	football	professional football	noun_hyponym_obj	He likes neither baseball nor football .	He likes neither baseball nor professional football .
80	silver/p25/d1536	neither	downward_monotone	neutral	football	professional football	noun_hypernym_obj	He likes neither baseball nor professional football .	He likes neither baseball nor football .
81	silver/p25/d1536	neither	downward_monotone	entailment	football	rugby	noun_hyponym_obj	He likes neither baseball nor football .	He likes neither baseball nor rugby .
82	silver/p25/d1536	neither	downward_monotone	neutral	football	rugby	noun_hypernym_obj	He likes neither baseball nor rugby .	He likes neither baseball nor football .
83	silver/p25/d1536	neither	downward_monotone	entailment	football	rugby football	noun_hyponym_obj	He likes neither baseball nor football .	He likes neither baseball nor rugby football .
84	silver/p25/d1536	neither	downward_monotone	neutral	football	rugby football	noun_hypernym_obj	He likes neither baseball nor rugby football .	He likes neither baseball nor football .
85	silver/p25/d1536	neither	downward_monotone	entailment	football	rugger	noun_hyponym_obj	He likes neither baseball nor football .	He likes neither baseball nor rugger .
86	silver/p25/d1536	neither	downward_monotone	neutral	football	rugger	noun_hypernym_obj	He likes neither baseball nor rugger .	He likes neither baseball nor football .
87	silver/p25/d1536	neither	downward_monotone	entailment	football	soccer	noun_hyponym_obj	He likes neither baseball nor football .	He likes neither baseball nor soccer .
88	silver/p25/d1536	neither	downward_monotone	neutral	football	soccer	noun_hypernym_obj	He likes neither baseball nor soccer .	He likes neither baseball nor football .
89	silver/p25/d1536	neither	downward_monotone	entailment	football	association football	noun_hyponym_obj	He likes neither baseball nor football .	He likes neither baseball nor association football .
90	silver/p25/d1536	neither	downward_monotone	neutral	football	association football	noun_hypernym_obj	He likes neither baseball nor association football .	He likes neither baseball nor football .
91	silver/p44/d1987	neither	downward_monotone	entailment	neither good nor bad	neither bad	simple	As scientists keep insisting , there is neither bad in any scientific discovery .	As scientists keep insisting , there is neither good nor bad in any scientific discovery .
92	silver/p44/d1987	neither	downward_monotone	neutral	bad	quality	noun_hypernym_obj	As scientists keep insisting , there is neither good nor bad in any scientific discovery .	As scientists keep insisting , there is neither good nor quality in any scientific discovery .
93	silver/p44/d1987	neither	downward_monotone	entailment	bad	quality	noun_hypernym_obj	As scientists keep insisting , there is neither good nor quality in any scientific discovery .	As scientists keep insisting , there is neither good nor bad in any scientific discovery .
94	silver/p44/d1987	neither	downward_monotone	entailment	bad	evil	noun_hyponym_obj	As scientists keep insisting , there is neither good nor bad in any scientific discovery .	As scientists keep insisting , there is neither good nor evil in any scientific discovery .
95	silver/p44/d1987	neither	downward_monotone	neutral	bad	evil	noun_hypernym_obj	As scientists keep insisting , there is neither good nor evil in any scientific discovery .	As scientists keep insisting , there is neither good nor bad in any scientific discovery .
96	silver/p44/d1987	neither	downward_monotone	entailment	bad	inadvisability	noun_hyponym_obj	As scientists keep insisting , there is neither good nor bad in any scientific discovery .	As scientists keep insisting , there is neither good nor inadvisability in any scientific discovery .
97	silver/p44/d1987	neither	downward_monotone	neutral	bad	inadvisability	noun_hypernym_obj	As scientists keep insisting , there is neither good nor inadvisability in any scientific discovery .	As scientists keep insisting , there is neither good nor bad in any scientific discovery .
98	silver/p44/d1987	neither	downward_monotone	entailment	bad	liability	noun_hyponym_obj	As scientists keep insisting , there is neither good nor bad in any scientific discovery .	As scientists keep insisting , there is neither good nor liability in any scientific discovery .
99	silver/p44/d1987	neither	downward_monotone	neutral	bad	liability	noun_hypernym_obj	As scientists keep insisting , there is neither good nor liability in any scientific discovery .	As scientists keep insisting , there is neither good nor bad in any scientific discovery .
100	silver/p44/d1987	neither	downward_monotone	entailment	bad	undesirability	noun_hyponym_obj	As scientists keep insisting , there is neither good nor bad in any scientific discovery .	As scientists keep insisting , there is neither good nor undesirability in any scientific discovery .
101	silver/p44/d1987	neither	downward_monotone	neutral	bad	undesirability	noun_hypernym_obj	As scientists keep insisting , there is neither good nor undesirability in any scientific discovery .	As scientists keep insisting , there is neither good nor bad in any scientific discovery .
102	silver/p44/d1987	neither	downward_monotone	entailment	bad	unsoundnes	noun_hyponym_obj	As scientists keep insisting , there is neither good nor bad in any scientific discovery .	As scientists keep insisting , there is neither good nor unsoundnes in any scientific discovery .
103	silver/p44/d1987	neither	downward_monotone	neutral	bad	unsoundnes	noun_hypernym_obj	As scientists keep insisting , there is neither good nor unsoundnes in any scientific discovery .	As scientists keep insisting , there is neither good nor bad in any scientific discovery .
104	silver/p44/d1987	neither	downward_monotone	entailment	bad	unworthines	noun_hyponym_obj	As scientists keep insisting , there is neither good nor bad in any scientific discovery .	As scientists keep insisting , there is neither good nor unworthines in any scientific discovery .
105	silver/p44/d1987	neither	downward_monotone	neutral	bad	unworthines	noun_hypernym_obj	As scientists keep insisting , there is neither good nor unworthines in any scientific discovery .	As scientists keep insisting , there is neither good nor bad in any scientific discovery .
106	silver/p44/d1987	neither	downward_monotone	entailment	bad	worse	noun_hyponym_obj	As scientists keep insisting , there is neither good nor bad in any scientific discovery .	As scientists keep insisting , there is neither good nor worse in any scientific discovery .
107	silver/p44/d1987	neither	downward_monotone	neutral	bad	worse	noun_hypernym_obj	As scientists keep insisting , there is neither good nor worse in any scientific discovery .	As scientists keep insisting , there is neither good nor bad in any scientific discovery .
108	silver/p02/d0823	neither	downward_monotone	entailment	neither of them	neither them	simple	I know neither them .	I know neither of them .
0	silver/p81/d0934	no	downward_monotone	entailment	no food left	no left	simple	There is no left .	There is no food left .
1	silver/p81/d0934	no	downward_monotone	neutral	left	hand	noun_hypernym_obj	There is no food left .	There is no food hand .
2	silver/p81/d0934	no	downward_monotone	entailment	left	hand	noun_hypernym_obj	There is no food hand .	There is no food left .
3	silver/p81/d0934	no	downward_monotone	neutral	left	manu	noun_hypernym_obj	There is no food left .	There is no food manu .
4	silver/p81/d0934	no	downward_monotone	entailment	left	manu	noun_hypernym_obj	There is no food manu .	There is no food left .
5	silver/p81/d0934	no	downward_monotone	neutral	left	mitt	noun_hypernym_obj	There is no food left .	There is no food mitt .
6	silver/p81/d0934	no	downward_monotone	entailment	left	mitt	noun_hypernym_obj	There is no food mitt .	There is no food left .
7	silver/p81/d0934	no	downward_monotone	neutral	left	paw	noun_hypernym_obj	There is no food left .	There is no food paw .
8	silver/p81/d0934	no	downward_monotone	entailment	left	paw	noun_hypernym_obj	There is no food paw .	There is no food left .
9	silver/p81/d2666	no	downward_monotone	entailment	no better way to start the day	no day	simple	There ’s no day .	There ’s no better way to start the day .
10	silver/p81/d2666	no	downward_monotone	neutral	day	sidereal time	noun_hypernym_obj	There ’s no better way to start the day .	There ’s no better way to start the sidereal time .
11	silver/p81/d2666	no	downward_monotone	entailment	day	sidereal time	noun_hypernym_obj	There ’s no better way to start the sidereal time .	There ’s no better way to start the day .
12	silver/p81/d2666	no	downward_monotone	neutral	day	time unit	noun_hypernym_obj	There ’s no better way to start the day .	There ’s no better way to start the time unit .
13	silver/p81/d2666	no	downward_monotone	entailment	day	time unit	noun_hypernym_obj	There ’s no better way to start the time unit .	There ’s no better way to start the day .
14	silver/p81/d2666	no	downward_monotone	neutral	day	unit of time	noun_hypernym_obj	There ’s no better way to start the day .	There ’s no better way to start the unit of time .
15	silver/p81/d2666	no	downward_monotone	entailment	day	unit of time	noun_hypernym_obj	There ’s no better way to start the unit of time .	There ’s no better way to start the day .
16	silver/p81/d2754	no	downward_monotone	entailment	no coincidence that both Tom and Mary were in the cafeteria at the same time	no time	simple	It was no time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
17	silver/p81/d2754	no	downward_monotone	neutral	time	attribute	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same attribute .
18	silver/p81/d2754	no	downward_monotone	entailment	time	attribute	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same attribute .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
19	silver/p81/d2754	no	downward_monotone	entailment	time	biological time	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same biological time .
20	silver/p81/d2754	no	downward_monotone	neutral	time	biological time	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same biological time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
21	silver/p81/d2754	no	downward_monotone	entailment	time	civil time	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same civil time .
22	silver/p81/d2754	no	downward_monotone	neutral	time	civil time	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same civil time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
23	silver/p81/d2754	no	downward_monotone	entailment	time	standard time	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same standard time .
24	silver/p81/d2754	no	downward_monotone	neutral	time	standard time	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same standard time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
25	silver/p81/d2754	no	downward_monotone	entailment	time	local time	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same local time .
26	silver/p81/d2754	no	downward_monotone	neutral	time	local time	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same local time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
27	silver/p81/d2754	no	downward_monotone	entailment	time	continuum	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same continuum .
28	silver/p81/d2754	no	downward_monotone	neutral	time	continuum	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same continuum .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
29	silver/p81/d2754	no	downward_monotone	entailment	time	cosmic time	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same cosmic time .
30	silver/p81/d2754	no	downward_monotone	neutral	time	cosmic time	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same cosmic time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
31	silver/p81/d2754	no	downward_monotone	entailment	time	daylight-saving time	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same daylight-saving time .
32	silver/p81/d2754	no	downward_monotone	neutral	time	daylight-saving time	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same daylight-saving time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
33	silver/p81/d2754	no	downward_monotone	entailment	time	daylight-savings time	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same daylight-savings time .
34	silver/p81/d2754	no	downward_monotone	neutral	time	daylight-savings time	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same daylight-savings time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
35	silver/p81/d2754	no	downward_monotone	entailment	time	daylight saving	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same daylight saving .
36	silver/p81/d2754	no	downward_monotone	neutral	time	daylight saving	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same daylight saving .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
37	silver/p81/d2754	no	downward_monotone	entailment	time	daylight saving	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same daylight saving .
38	silver/p81/d2754	no	downward_monotone	neutral	time	daylight saving	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same daylight saving .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
39	silver/p81/d2754	no	downward_monotone	entailment	time	duration	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same duration .
40	silver/p81/d2754	no	downward_monotone	neutral	time	duration	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same duration .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
41	silver/p81/d2754	no	downward_monotone	entailment	time	continuance	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same continuance .
42	silver/p81/d2754	no	downward_monotone	neutral	time	continuance	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same continuance .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
43	silver/p81/d2754	no	downward_monotone	entailment	time	eternity	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same eternity .
44	silver/p81/d2754	no	downward_monotone	neutral	time	eternity	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same eternity .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
45	silver/p81/d2754	no	downward_monotone	entailment	time	infinity	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same infinity .
46	silver/p81/d2754	no	downward_monotone	neutral	time	infinity	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same infinity .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
47	silver/p81/d2754	no	downward_monotone	entailment	time	future	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same future .
48	silver/p81/d2754	no	downward_monotone	neutral	time	future	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same future .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
49	silver/p81/d2754	no	downward_monotone	entailment	time	hereafter	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same hereafter .
50	silver/p81/d2754	no	downward_monotone	neutral	time	hereafter	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same hereafter .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
51	silver/p81/d2754	no	downward_monotone	entailment	time	futurity	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same futurity .
52	silver/p81/d2754	no	downward_monotone	neutral	time	futurity	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same futurity .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
53	silver/p81/d2754	no	downward_monotone	entailment	time	time to come	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time to come .
54	silver/p81/d2754	no	downward_monotone	neutral	time	time to come	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time to come .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
55	silver/p81/d2754	no	downward_monotone	entailment	time	geological time	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same geological time .
56	silver/p81/d2754	no	downward_monotone	neutral	time	geological time	noun_hypernym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same geological time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .
57	silver/p81/d2754	no	downward_monotone	entailment	time	geologic time	noun_hyponym_obj	It was no coincidence that both Tom and Mary were in the cafeteria at the same time .	It was no coincidence that both Tom and Mary were in the cafeteria at the same geologic time .
